FLIGHT LOG
t, z, x, theta, rpm1, rpm2, v_z, v_x, omega, pred_theta, del_rpm
225.000, -4474.585, 0.000, 0.000, 50.584, 50.584, -15.00, 0.00, 0.00, 0.000, 0.000
226.000, -4494.440, 0.000, 0.000, 51.033, 51.033, -15.00, 0.00, 0.00, 0.000, 0.000
227.000, -4514.294, 0.000, 0.000, 51.485, 51.485, -15.00, 0.00, 0.00, 0.000, 0.000
228.000, -4534.148, 0.000, 0.000, 51.938, 51.938, -15.00, 0.00, 0.00, 0.000, 0.000
229.000, -4554.002, 0.000, 0.000, 52.393, 52.393, -15.00, 0.00, 0.00, 0.000, 0.000
230.000, -4573.855, 0.000, 0.000, 52.851, 52.851, -15.00, 0.00, 0.00, 0.000, 0.000
231.000, -4593.708, 0.000, 0.000, 53.310, 53.310, -15.00, 0.00, 0.00, 0.000, 0.000
232.000, -4613.560, 0.000, 0.000, 53.772, 53.772, -15.00, 0.00, 0.00, 0.000, 0.000
233.000, -4633.412, 0.000, 0.000, 54.235, 54.235, -15.00, 0.00, 0.00, 0.000, 0.000
234.000, -4653.263, 0.000, 0.000, 54.700, 54.700, -15.00, 0.00, 0.00, 0.000, 0.000
235.000, -4673.114, 0.000, 0.000, 55.168, 55.168, -15.00, 0.00, 0.00, 0.000, 0.000
236.000, -4692.964, 0.000, 0.000, 55.637, 55.637, -15.00, 0.00, 0.00, 0.000, 0.000
237.000, -4712.814, 0.000, 0.000, 56.108, 56.108, -15.00, 0.00, 0.00, 0.000, 0.000
238.000, -4732.664, 0.000, 0.000, 56.581, 56.581, -15.00, 0.00, 0.00, 0.000, 0.000
239.000, -4752.513, 0.000, 0.000, 57.057, 57.057, -15.00, 0.00, 0.00, 0.000, 0.000
240.000, -4772.361, 0.000, 0.000, 57.534, 57.534, -15.00, 0.00, 0.00, 0.000, 0.000
241.000, -4792.209, 0.000, 0.000, 58.013, 58.013, -15.00, 0.00, 0.00, 0.000, 0.000
242.000, -4812.057, 0.000, 0.000, 58.494, 58.494, -15.00, 0.00, 0.00, 0.000, 0.000
243.000, -4831.904, 0.000, 0.000, 58.978, 58.978, -15.00, 0.00, 0.00, 0.000, 0.000
244.000, -4851.751, 0.000, 0.000, 59.463, 59.463, -15.00, 0.00, 0.00, 0.000, 0.000
245.000, -4871.597, 0.000, 0.000, 59.950, 59.950, -15.00, 0.00, 0.00, 0.000, 0.000
246.000, -4891.443, 0.000, 0.000, 60.439, 60.439, -15.00, 0.00, 0.00, 0.000, 0.000
247.000, -4911.288, 0.000, 0.000, 60.930, 60.930, -15.00, 0.00, 0.00, 0.000, 0.000
